"","k","N","NF","NM","SDF","SDM","lam01","lam02","sig1","sig2","SDFS","SDFL","SDMS","SDML","truesig1","truesig2","truelam01","truelam02","N1CI","N2CI","Sig1CI","Sig2CI","Lam01CI","Lam02CI","TrueNF","TrueNM","Model"
"58",60,0,288,248,49.4970294656924,34.6931177672292,0.0859049768503073,0.0292170331810864,0.578410663675426,0.913854532305316,0.0489615050368696,0.013563345945391,0.0940560377671443,0.0064236156312826,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,271,181,"BandSMR"
"59",61,0,345,173,40.7392905257451,41.9460068568056,0.0668813665117037,0.0373889291725695,0.555617407084135,0.799554569145145,0.0400969889420775,0.0102295119156526,0.0834891510063086,0.00795154044479354,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,267,162,"BandSMR"
"60",62,0,318,261,43.5751109705301,29.8194997795001,0.0646110912052381,0.0342782446877015,0.60861513933282,0.76249012108581,0.0505726895319491,0.0106910635377351,0.0812860124312082,0.00774585623802546,0.6,0.9,0.07,0.03,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,273,182,"BandSMR"
"61",63,0,324,198,43.799452483911,42.2224795163129,0.081857025324562,0.0292153877343685,0.5424911572936,0.930544883323891,0.0448130877192341,0.0136154865435787,0.120064710494462,0.00721640036008151,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,270,180,"BandSMR"
"62",64,0,353,243,36.0649926218477,35.7868929494433,0.0704447083811318,0.03152684503584,0.567098803447222,0.86285888683479,0.0392141247571528,0.0114291540727508,0.0822045878236072,0.00704315469349948,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,278,180,"BandSMR"
"63",65,0,354,246,34.9479015195014,36.788964602269,0.0863860196504075,0.0374032687249483,0.542785641751911,0.836346066553932,0.0412016668640195,0.0129023806272745,0.0884390132411192,0.00849727931077503,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,273,181,"BandSMR"
"64",66,0,359,228,33.7336329088352,40.2193478153764,0.0684939401182158,0.0305306319883875,0.574513701954136,0.892240694352164,0.0406129548337941,0.0102432123983001,0.105403235604564,0.00722093004783491,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,267,185,"BandSMR"
"65",67,0,310,206,48.1947805372327,41.0989871192383,0.0783945265545945,0.0355084304708366,0.591134028611188,0.818275464570618,0.0446346789822565,0.0123874227781388,0.0924565641488676,0.0079047408109709,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,260,182,"BandSMR"
"66",68,0,322,267,47.7834149172231,30.3809492404679,0.0849008239421454,0.0254704180055704,0.547102272786778,0.868870057447868,0.0399274210493426,0.0132133800703275,0.0947236356866792,0.00557948426538011,0.6,0.9,0.07,0.03,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,267,182,"BandSMR"
"67",69,0,313,240,45.6237558602869,36.6521044143822,0.0672130890561179,0.023589172268498,0.593862481182974,0.997972089231137,0.0462960473979593,0.0107505071995888,0.102312559424845,0.00504582094248336,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,263,181,"BandSMR"
